ObjectID,Speed,Heading,Elevation,Aleket_cnt
1.0,0.092,172.0,-50.8,0
2.0,0.148,353.0,-50.7,1
3.0,0.203,119.0,-50.0,1
4.0,0.24,297.0,-49.8,1
5.0,0.185,241.0,-50.0,0
6.0,0.203,285.0,-50.1,0
7.0,0.148,330.0,-50.0,0
8.0,0.481,0.0,-49.8,0
9.0,0.074,276.0,-49.7,0
10.0,0.296,79.0,-49.5,1
11.0,0.074,289.0,-49.5,1
12.0,0.518,68.0,-49.4,0
13.0,0.166,306.0,-49.3,1
14.0,0.296,78.0,-49.2,1
15.0,0.074,67.0,-49.0,1
16.0,0.462,250.0,-48.7,0
17.0,0.259,128.0,-48.4,1
18.0,0.37,13.0,-48.4,0
19.0,0.166,162.0,-48.1,0
20.0,0.129,43.0,-47.7,0
21.0,0.388,5.0,-47.7,0
22.0,0.24,333.0,-47.6,0
23.0,0.055,226.0,-47.3,0
24.0,0.111,0.0,-46.9,0
25.0,0.148,278.0,-46.7,0
26.0,0.111,320.0,-46.6,0
27.0,0.759,301.0,-46.4,0
28.0,0.018,147.0,-46.2,0
29.0,0.277,285.0,-46.2,0
30.0,0.314,335.0,-46.0,0
31.0,0.259,288.0,-45.9,0
32.0,0.24,287.0,-45.8,1
33.0,0.259,226.0,-45.6,0
34.0,0.222,272.0,-45.4,0
35.0,0.296,135.0,-45.3,0
36.0,0.277,315.0,-45.2,1
37.0,0.111,305.0,-45.0,2
38.0,0.222,314.0,-45.0,1
39.0,0.277,282.0,-44.8,1
40.0,0.185,305.0,-44.4,2
41.0,0.296,273.0,-44.3,3
42.0,0.296,275.0,-44.2,3
43.0,0.074,45.0,-44.2,2
44.0,0.222,275.0,-44.0,2
45.0,0.037,115.0,-43.9,1
46.0,0.111,341.0,-43.7,2
47.0,0.314,326.0,-43.3,1
48.0,0.129,36.0,-43.1,1
49.0,0.333,347.0,-43.1,1
50.0,0.166,348.0,-42.9,1
51.0,0.166,335.0,-42.9,1
52.0,0.111,58.0,-42.8,0
53.0,0.24,314.0,-42.6,1
54.0,0.037,338.0,-42.4,0
55.0,0.222,42.0,-42.3,0
56.0,0.148,27.0,-42.2,0
57.0,0.277,321.0,-42.1,0
58.0,0.148,336.0,-42.0,0
59.0,0.148,135.0,-42.0,0
60.0,0.148,279.0,-41.8,0
61.0,0.222,290.0,-41.6,0
62.0,0.055,231.0,-42.2,0
63.0,0.092,165.0,-41.8,0
64.0,0.277,172.0,-41.7,1
65.0,0.203,316.0,-41.4,1
66.0,0.259,94.0,-41.2,0
67.0,0.037,271.0,-41.2,0
68.0,0.074,311.0,-40.8,1
69.0,0.203,258.0,-40.6,0
70.0,0.148,203.0,-40.1,0
71.0,0.222,321.0,-41.0,0
72.0,0.055,212.0,-40.7,0
73.0,0.555,299.0,-40.7,0
74.0,0.481,171.0,-40.1,0
75.0,0.111,309.0,-39.7,0
76.0,0.333,357.0,-39.7,0
77.0,0.037,344.0,-40.0,0
78.0,0.055,338.0,-39.9,0
79.0,0.111,275.0,-39.9,0
80.0,0.425,24.0,-39.7,0
81.0,0.148,304.0,-39.7,0
82.0,0.222,346.0,-39.6,0
83.0,0.148,285.0,-39.3,0
