Id,Aleket_cnt,Comments,AleketLvl
1.0,2,First point,2
2.0,2,,2
3.0,2,,2
4.0,2,,2
5.0,2,,2
6.0,2,,2
7.0,1,,1
8.0,1,,1
9.0,1,,1
10.0,1,,1
11.0,1,,1
12.0,2,Include water lines,2
13.0,1,,1
14.0,1,,1
15.0,1,,1
16.0,1,,1
17.0,1,,1
18.0,1,,1
19.0,1,,1
20.0,1,,1
21.0,2,,2
22.0,2,,2
23.0,2,,2
24.0,2,,2
25.0,2,,2
26.0,2,,2
27.0,3,,3
28.0,2,,2
29.0,2,,2
30.0,2,,2
31.0,2,,2
32.0,2,,2
33.0,1,,1
34.0,1,,1
35.0,1,,1
36.0,2,,2
37.0,2,,2
38.0,2,,2
39.0,2,,2
40.0,2,,2
41.0,2,,2
42.0,2,,2
43.0,1,,1
44.0,1,,1
45.0,1,,1
46.0,1,,1
47.0,2,,2
48.0,1,,1
49.0,1,,1
50.0,1,,1
51.0,1,Include water lines,1
52.0,2,,2
53.0,2,,2
54.0,1,,1
55.0,2,,2
56.0,2,,2
58.0,2,,2
59.0,2,,2
60.0,2,,2
61.0,2,,2
62.0,2,,2
63.0,2,,2
64.0,2,,2
65.0,2,,2
66.0,2,,2
67.0,1,,1
68.0,1,,1
69.0,1,,1
70.0,2,,2
71.0,2,,2
72.0,2,,2
73.0,2,,2
74.0,2,,2
75.0,1,,1
76.0,1,,1
77.0,1,Include water lines,1
78.0,2,,2
79.0,2,,2
80.0,1,,1
81.0,2,,2
82.0,1,,1
83.0,2,,2
84.0,2,,2
85.0,2,,2
86.0,2,,2
87.0,2,,2
88.0,2,,2
89.0,2,,2
90.0,2,,2
91.0,1,,1
92.0,1,,1
93.0,1,,1
94.0,2,,2
95.0,2,,2
96.0,2,,2
97.0,2,,2
98.0,2,,2
99.0,2,,2
100.0,2,,2
101.0,2,,2
102.0,2,,2
103.0,2,,2
104.0,2,,2
105.0,1,,1
106.0,2,,2
107.0,2,,2
108.0,2,,2
109.0,2,,2
110.0,2,,2
111.0,2,,2
112.0,2,,2
113.0,1,,1
114.0,1,,1
115.0,2,Include water lines,2
116.0,2,,2
117.0,2,,2
118.0,2,,2
119.0,2,,2
120.0,2,,2
121.0,2,,2
122.0,2,,2
123.0,2,,2
124.0,2,,2
125.0,2,,2
126.0,2,,2
127.0,2,,2
128.0,2,,2
129.0,3,,3
130.0,3,,3
131.0,2,,2
132.0,2,,2
133.0,2,,2
134.0,2,,2
135.0,2,,2
136.0,2,,2
137.0,2,,2
138.0,2,,2
139.0,2,,2
140.0,2,,2
141.0,2,,2
142.0,2,Include water lines,2
143.0,2,,2
144.0,2,,2
145.0,2,,2
146.0,3,,3
147.0,3,,3
148.0,3,,3
149.0,3,,3
150.0,3,,3
151.0,2,,2
152.0,2,,2
153.0,2,,2
154.0,2,,2
155.0,2,,2
156.0,2,,2
157.0,2,,2
158.0,2,,2
159.0,2,,2
160.0,2,,2
161.0,2,,2
162.0,2,,2
163.0,2,,2
164.0,2,,2
165.0,2,,2
166.0,2,,2
167.0,2,,2
168.0,2,,2
169.0,2,,2
170.0,2,,2
171.0,2,,2
172.0,3,,3
173.0,3,,3
174.0,3,,3
175.0,3,,3
176.0,2,,2
177.0,2,,2
178.0,2,,2
179.0,2,,2
180.0,2,Include water lines,2
181.0,2,,2
182.0,2,,2
183.0,2,,2
184.0,2,,2
185.0,2,,2
186.0,1,,1
187.0,1,,1
188.0,2,,2
189.0,1,,1
190.0,2,,2
191.0,2,,2
192.0,2,,2
193.0,2,,2
194.0,2,,2
195.0,2,,2
196.0,3,,3
197.0,2,,2
198.0,2,,2
199.0,2,,2
200.0,2,,2
201.0,2,,2
202.0,2,,2
203.0,2,,2
204.0,1,,1
205.0,1,,1
206.0,1,,1
207.0,2,,2
208.0,2,,2
209.0,2,Include water lines,2
210.0,2,,2
211.0,2,,2
212.0,1,,1
213.0,2,,2
214.0,2,,2
215.0,2,,2
216.0,1,,1
217.0,1,,1
218.0,1,,1
219.0,1,,1
220.0,1,,1
221.0,1,,1
222.0,1,,1
223.0,1,,1
224.0,1,,1
225.0,2,,2
226.0,2,,2
227.0,2,,2
228.0,1,,1
229.0,1,,1
230.0,1,,1
231.0,1,,1
232.0,1,,1
233.0,1,,1
234.0,1,,1
235.0,2,,2
236.0,1,,1
237.0,1,,1
238.0,1,,1
239.0,2,,2
240.0,2,,2
241.0,1,,1
242.0,1,,1
243.0,2,Include water lines,2
244.0,1,,1
245.0,1,,1
246.0,2,,2
247.0,3,,3
248.0,2,,2
249.0,1,,1
250.0,1,,1
251.0,1,,1
252.0,1,,1
253.0,1,,1
254.0,1,,1
255.0,1,,1
256.0,2,,2
257.0,2,,2
258.0,1,,1
259.0,2,,2
260.0,1,,1
261.0,1,Include water lines,1
262.0,1,,1
263.0,1,,1
264.0,1,,1
265.0,1,,1
266.0,0,,0
267.0,1,,1
268.0,0,,0
269.0,0,,0
270.0,0,,0
271.0,0,,0
272.0,0,,0
273.0,1,Allmust 0 flowers,1
274.0,1,,1
275.0,1,,1
276.0,0,,0
277.0,1,Include water lines,1
278.0,2,,2
279.0,1,,1
280.0,1,,1
281.0,2,,2
282.0,2,,2
283.0,1,,1
284.0,1,,1
285.0,2,,2
286.0,2,,2
287.0,2,,2
288.0,2,,2
289.0,1,,1
290.0,2,,2
291.0,2,,2
292.0,2,,2
293.0,2,,2
294.0,1,,1
295.0,1,,1
296.0,2,,2
297.0,2,,2
298.0,2,,2
299.0,2,,2
300.0,2,,2
301.0,2,,2
302.0,2,,2
303.0,2,,2
304.0,2,,2
305.0,2,,2
306.0,2,,2
307.0,1,,1
308.0,1,,1
309.0,2,,2
310.0,1,,1
311.0,2,,2
312.0,2,Include water lines,2
313.0,1,,1
314.0,1,,1
315.0,1,,1
316.0,1,,1
317.0,1,,1
318.0,1,,1
319.0,2,,2
320.0,1,,1
321.0,1,,1
322.0,1,,1
323.0,1,,1
324.0,2,,2
325.0,1,,1
326.0,1,,1
327.0,1,,1
328.0,1,Include water lines,1
329.0,2,,2
330.0,2,,2
331.0,1,,1
332.0,1,,1
333.0,2,,2
334.0,2,,2
335.0,2,,2
336.0,1,,1
337.0,1,,1
338.0,1,,1
339.0,1,,1
340.0,1,,1
341.0,1,Allmust 0 flowers,1
342.0,2,,2
343.0,2,,2
344.0,2,,2
345.0,2,,2
346.0,2,Include water lines,2
347.0,1,,1
348.0,1,Allmust 0 flowers,1
349.0,2,,2
350.0,2,,2
351.0,2,,2
352.0,1,,1
353.0,2,,2
354.0,1,,1
355.0,1,,1
356.0,1,,1
357.0,1,,1
358.0,2,,2
359.0,1,,1
360.0,2,,2
361.0,2,,2
362.0,2,,2
363.0,2,,2
364.0,1,,1
365.0,2,,2
366.0,2,,2
367.0,2,,2
368.0,2,,2
369.0,2,,2
370.0,2,,2
371.0,2,,2
372.0,2,,2
373.0,2,,2
374.0,2,,2
375.0,2,,2
376.0,2,,2
377.0,2,Include water lines,2
378.0,3,,3
379.0,3,,3
380.0,2,,2
381.0,2,,2
382.0,2,,2
383.0,2,,2
384.0,2,,2
385.0,2,,2
386.0,3,,3
387.0,3,,3
388.0,3,,3
389.0,2,,2
390.0,3,,3
391.0,2,,2
392.0,2,,2
393.0,2,,2
394.0,2,,2
395.0,2,Include water lines,2
396.0,2,,2
397.0,2,,2
398.0,2,,2
399.0,2,,2
400.0,3,,3
401.0,2,,2
402.0,1,,1
403.0,2,,2
404.0,1,,1
405.0,1,Allmust 0 flowers,1
406.0,1,Allmust 0 flowers,1
407.0,1,,1
408.0,2,,2
409.0,2,,2
410.0,2,,2
411.0,2,Include water lines,2
412.0,2,,2
413.0,2,,2
414.0,1,,1
415.0,1,,1
416.0,2,,2
417.0,2,,2
418.0,1,,1
419.0,2,,2
420.0,2,,2
421.0,2,,2
422.0,2,,2
423.0,1,,1
424.0,1,,1
425.0,2,,2
426.0,2,,2
427.0,1,,1
428.0,1,,1
429.0,1,,1
430.0,0,,0
431.0,0,,0
432.0,0,,0
433.0,0,,0
434.0,0,,0
435.0,1,Allmust 0 flowers,1
436.0,1,,1
437.0,1,,1
438.0,1,,1
439.0,1,,1
440.0,2,,2
441.0,1,,1
442.0,2,,2
443.0,1,,1
444.0,1,,1
445.0,1,,1
446.0,1,,1
447.0,1,Include water lines,1
448.0,1,,1
449.0,1,,1
450.0,1,,1
451.0,1,,1
452.0,1,,1
453.0,1,Allmust 0 flowers,1
454.0,1,,1
455.0,1,,1
456.0,1,,1
457.0,2,,2
458.0,2,,2
459.0,2,,2
460.0,2,,2
461.0,2,,2
462.0,2,Include water lines,2
463.0,2,,2
464.0,2,,2
465.0,2,,2
466.0,2,,2
467.0,2,,2
468.0,2,,2
469.0,2,,2
470.0,2,,2
471.0,2,,2
472.0,2,,2
473.0,2,,2
474.0,2,,2
475.0,2,,2
476.0,2,,2
477.0,2,,2
478.0,2,,2
479.0,2,,2
480.0,2,,2
481.0,2,Include water lines,2
482.0,2,,2
483.0,2,,2
484.0,2,,2
485.0,2,,2
486.0,2,,2
487.0,1,,1
488.0,1,,1
489.0,1,,1
490.0,1,,1
491.0,2,,2
492.0,2,,2
493.0,2,,2
494.0,2,,2
495.0,2,,2
496.0,2,,2
498.0,1,,1
499.0,1,,1
500.0,2,,2
501.0,1,,1
502.0,1,,1
503.0,1,,1
504.0,1,,1
505.0,1,,1
506.0,1,,1
507.0,2,,2
508.0,2,,2
509.0,1,,1
510.0,2,,2
511.0,2,,2
512.0,2,Include water lines,2
513.0,1,,1
514.0,1,,1
515.0,1,,1
516.0,1,,1
517.0,1,,1
518.0,1,,1
519.0,1,,1
520.0,1,,1
521.0,1,,1
522.0,1,,1
523.0,1,,1
524.0,1,,1
525.0,2,,2
526.0,1,,1
527.0,1,,1
528.0,1,,1
529.0,1,,1
530.0,1,Include water lines,1
531.0,1,,1
532.0,1,,1
533.0,2,,2
534.0,3,,3
535.0,3,,3
536.0,2,,2
537.0,1,,1
538.0,1,,1
539.0,2,,2
540.0,1,,1
541.0,1,,1
542.0,1,,1
543.0,2,,2
544.0,2,Include water lines,2
545.0,2,,2
546.0,1,,1
547.0,1,,1
548.0,2,,2
549.0,2,,2
550.0,2,,2
551.0,2,,2
552.0,2,,2
553.0,2,,2
554.0,2,,2
555.0,2,,2
556.0,1,,1
557.0,1,,1
558.0,1,,1
559.0,1,,1
560.0,1,,1
561.0,1,,1
562.0,1,,1
563.0,1,,1
564.0,2,,2
565.0,2,,2
566.0,2,,2
567.0,2,,2
568.0,2,,2
569.0,2,,2
570.0,2,,2
571.0,2,,2
572.0,1,,1
573.0,2,,2
574.0,2,,2
575.0,2,,2
576.0,1,,1
577.0,2,,2
578.0,2,,2
579.0,2,Include water lines,2
580.0,2,,2
581.0,2,,2
582.0,2,,2
583.0,2,,2
584.0,2,,2
585.0,2,,2
586.0,1,,1
587.0,2,,2
588.0,2,,2
589.0,2,,2
590.0,1,,1
591.0,1,,1
592.0,2,,2
593.0,2,,2
594.0,2,Include water lines,2
595.0,2,,2
596.0,1,,1
597.0,1,,1
598.0,1,,1
599.0,1,,1
600.0,2,,2
601.0,2,,2
602.0,1,,1
603.0,2,,2
604.0,2,,2
605.0,2,,2
606.0,1,,1
607.0,1,,1
608.0,1,,1
609.0,2,,2
610.0,2,,2
611.0,2,,2
612.0,1,Include water lines,1
613.0,1,,1
614.0,2,,2
615.0,2,,2
616.0,2,,2
617.0,2,,2
618.0,1,,1
619.0,1,,1
620.0,1,,1
621.0,2,,2
622.0,2,,2
623.0,1,,1
624.0,1,,1
625.0,1,,1
626.0,2,,2
627.0,2,,2
628.0,1,,1
629.0,2,,2
630.0,1,,1
631.0,1,,1
632.0,1,,1
633.0,1,,1
634.0,1,,1
635.0,2,,2
636.0,2,,2
637.0,2,,2
638.0,2,,2
639.0,2,,2
640.0,2,,2
641.0,2,Include water lines,2
642.0,2,,2
643.0,1,,1
644.0,2,,2
645.0,2,,2
646.0,2,,2
647.0,2,,2
648.0,2,,2
649.0,2,,2
650.0,2,,2
651.0,1,,1
652.0,1,,1
653.0,1,,1
654.0,1,,1
655.0,1,,1
656.0,1,,1
657.0,1,,1
658.0,1,,1
659.0,1,,1
660.0,2,Include water lines,2
661.0,1,,1
662.0,1,,1
663.0,1,,1
664.0,1,,1
665.0,1,,1
666.0,2,,2
667.0,2,,2
668.0,1,,1
669.0,2,,2
670.0,1,,1
671.0,1,,1
672.0,2,,2
673.0,2,,2
674.0,1,Include water lines,1
675.0,1,,1
676.0,2,,2
677.0,1,,1
678.0,1,,1
679.0,2,,2
680.0,2,,2
681.0,2,,2
682.0,1,,1
683.0,2,,2
684.0,2,,2
685.0,2,,2
686.0,2,,2
687.0,2,,2
688.0,2,,2
689.0,2,,2
690.0,2,,2
691.0,2,,2
692.0,1,,1
693.0,1,,1
